accession_code,accession,lga,pot_id,pot,reading,plant_id,week,trait,trait_label,value,pvfta1
2,Danhassan2,Kura,2b,b,2,2b-r2,4,LB,Leaf breadth (cm),6.2,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,4,LL,Leaf length (cm),8,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,4,NB,Number of branches,4,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,4,NL,Number of leaves,63,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,4,PH,Plant height (cm),140,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,4,SD,Stem diameter,3.8,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,5,LB,Leaf breadth (cm),6,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,5,LL,Leaf length (cm),8.5,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,5,NB,Number of branches,4,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,5,NL,Number of leaves,76,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,5,PH,Plant height (cm),140,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,5,SD,Stem diameter,3.95,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,6,LB,Leaf breadth (cm),6.2,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,6,LL,Leaf length (cm),8.8,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,6,NB,Number of branches,4,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,6,NL,Number of leaves,84,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,6,PH,Plant height (cm),140,Amplified
2,Danhassan2,Kura,2b,b,2,2b-r2,6,SD,Stem diameter,3.95,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,2,LB,Leaf breadth (cm),4.7,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,2,LL,Leaf length (cm),9.3,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,2,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,2,NL,Number of leaves,25,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,2,PH,Plant height (cm),25.6,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,2,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,3,LB,Leaf breadth (cm),6.8,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,3,LL,Leaf length (cm),9.3,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,3,NB,Number of branches,1,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,3,NL,Number of leaves,38,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,3,PH,Plant height (cm),72,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,3,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,4,LB,Leaf breadth (cm),6.8,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,4,LL,Leaf length (cm),9.5,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,4,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,4,NL,Number of leaves,45,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,4,PH,Plant height (cm),149,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,4,SD,Stem diameter,0.55,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,5,LB,Leaf breadth (cm),6.5,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,5,LL,Leaf length (cm),7.6,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,5,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,5,NL,Number of leaves,89,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,5,PH,Plant height (cm),158,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,5,SD,Stem diameter,0.45,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,6,LB,Leaf breadth (cm),5.6,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,6,LL,Leaf length (cm),7.9,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,6,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,6,NL,Number of leaves,80,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,6,PH,Plant height (cm),130,Amplified
3,Kumbotso3,Kumbotso,3a,a,1,3a-r1,6,SD,Stem diameter,0.46,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,2,LB,Leaf breadth (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,2,LL,Leaf length (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,2,NB,Number of branches,0,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,2,NL,Number of leaves,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,2,PH,Plant height (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,2,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,3,LB,Leaf breadth (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,3,LL,Leaf length (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,3,NB,Number of branches,0,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,3,NL,Number of leaves,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,3,PH,Plant height (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,3,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,4,LB,Leaf breadth (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,4,LL,Leaf length (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,4,NB,Number of branches,0,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,4,NL,Number of leaves,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,4,PH,Plant height (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,4,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,5,LB,Leaf breadth (cm),NA,Amplified
